,frame_num,num_of_faces,percentage
282,6253_frame.jpg,2,"[2.094049589241252, 0.4474735727810828]"
283,5299_frame.jpg,0,[]
284,5250_frame.jpg,0,[]
285,2646_frame.jpg,1,[2.0547255893008898]
286,7255_frame.jpg,0,[]
287,2470_frame.jpg,0,[]
288,2193_frame.jpg,1,[14.926160337552744]
289,5066_frame.jpg,0,[]
290,5585_frame.jpg,0,[]
291,7549_frame.jpg,0,[]
292,7580_frame.jpg,0,[]
293,7063_frame.jpg,1,[23.48723740513784]
294,11_frame.jpg,0,[]
295,5857_frame.jpg,0,[]
296,7639_frame.jpg,0,[]
297,7313_frame.jpg,0,[]
298,2700_frame.jpg,2,"[3.9726558423163514, 4.830888163289648]"
299,5316_frame.jpg,1,[15.565781038004504]
300,5911_frame.jpg,0,[]
301,7125_frame.jpg,0,[]
302,5120_frame.jpg,0,[]
303,2536_frame.jpg,1,[0.763370159979723]
304,3126_frame.jpg,0,[]
305,4530_frame.jpg,0,[]
306,1912_frame.jpg,1,[3.497972298012554]
307,3917_frame.jpg,1,[26.488534538026865]
308,720_frame.jpg,2,"[0.8617733446646091, 0.4116905965320332]"
309,6535_frame.jpg,0,[]
310,1123_frame.jpg,0,[]
311,1409_frame.jpg,1,[0.7397012121483204]
312,4706_frame.jpg,1,[12.598589554352849]
313,3310_frame.jpg,0,[]
314,1315_frame.jpg,2,"[3.247305094601243, 0.9931639605790878]"
315,6703_frame.jpg,0,[]
316,516_frame.jpg,1,[0.8118262736503108]
317,6229_frame.jpg,5,"[0.5637682455904937, 0.7397012121483204, 1.1927658749683172, 1.3465208510384519, 1.3783900642602616]"
318,1065_frame.jpg,0,[]
319,1586_frame.jpg,0,[]
320,6473_frame.jpg,0,[]
321,3898_frame.jpg,1,[0.5434539517824395]
322,6190_frame.jpg,4,"[0.3773985776266941, 0.5434539517824395, 0.4659241699094989, 0.6055150512143848]"
323,666_frame.jpg,1,[3.8645614348973476]
324,3851_frame.jpg,0,[]
325,6159_frame.jpg,4,"[0.7397012121483204, 0.6487528141819863, 2.3378211149379013, 3.600848354728571]"
326,385_frame.jpg,0,[]
327,1854_frame.jpg,1,[2.551214384756452]
328,4195_frame.jpg,0,[]
329,4476_frame.jpg,1,[4.027262155029745]
330,6968_frame.jpg,1,[25.652107468205337]
331,3583_frame.jpg,0,[]
332,3060_frame.jpg,0,[]
333,450_frame.jpg,1,[0.4659241699094989]
334,499_frame.jpg,1,[10.38004502691178]
335,6645_frame.jpg,2,"[3.149647388588212, 6.173308881632897]"
336,1253_frame.jpg,1,[3.8645614348973476]
337,1779_frame.jpg,2,"[9.102480953019935, 13.788373514633745]"
338,982_frame.jpg,0,[]
339,3256_frame.jpg,1,[1.0205603017697664]
340,4640_frame.jpg,0,[]
341,4689_frame.jpg,1,[7.680107647120216]
342,7643_frame.jpg,0,[]
343,7369_frame.jpg,0,[]
344,2250_frame.jpg,0,[]
345,2299_frame.jpg,6,"[0.42939571498859413, 0.6487528141819863, 0.8617733446646091, 0.8617733446646091, 0.8366134394894962, 0.523512397310313]"
346,5646_frame.jpg,1,[11.648104247737471]
347,2857_frame.jpg,0,[]
348,7196_frame.jpg,1,[1.9389900254953705]
